seller_id,seller_state,delivered_orders,gmv,avg_delivery_delay_days,avg_review_score,late_delivery_rate,severe_delay_rate,poor_review_rate,sla_risk_score
c9c7905cffc4ef9ff9f113554423e671,SP,127,12766.710000000005,-10.133858267716535,4.141732283464567,0.0787401574803149,0.0393700787401574,0.1102362204724409,2915.2329921259848
7202e2ba20579a9bd1acb29e61fe71f6,SP,51,13217.210000000005,-12.176470588235292,3.98,0.0392156862745098,0.0196078431372549,0.1568627450980392,2850.7707843137264
e882b2a25a10b9c057cc49695f222c19,RJ,57,53913.76,-19.105263157894736,4.578947368421052,0.0,0.0,0.0526315789473684,2837.5663157894737
f84a00e60c73a49e7e851c9bdca3a5bb,RJ,88,7780.34,-10.443181818181818,3.897727272727273,0.1022727272727272,0.0681818181818181,0.1931818181818181,2829.2145454545457
05ff92fedb5be47920fea08e501238b9,RS,57,22983.869999999995,-17.736842105263158,4.315789473684211,0.0350877192982456,0.0350877192982456,0.0526315789473684,2822.5805263157886
aba1721a889e04decc910aa13b768ef4,SP,83,15352.47,-11.626506024096386,4.445783132530121,0.072289156626506,0.0120481927710843,0.0963855421686747,2774.5427710843373
f46490624488d3ff7ce78613913a7711,SP,80,7384.359999999999,-8.825,3.7625,0.1125,0.025,0.2375,2769.1349999999993
50c9975695009e5e6473912e83a6d1da,MG,50,6883.95,-7.7,3.938775510204082,0.14,0.08,0.18,2753.58
701938c450705b8ae65fc923b70f35c7,SP,74,15650.89,-11.743243243243244,4.0,0.0405405405405405,0.0135135135135135,0.1216216216216216,2749.4806756756757
1b4c3a6f53068f0b6944d2d005c9fc89,SC,111,17396.99,-12.756756756756756,4.254545454545455,0.045045045045045,0.009009009009009,0.0990990990990991,2664.403873873874
beadbee30901a7f61d031b6b686095ad,SP,64,5311.52,-9.453125,3.90625,0.234375,0.078125,0.1875,2655.76
4e7c18b98d84e05cbae3ff0ff03846c2,SP,81,11862.36,-13.296296296296296,4.2125,0.037037037037037,0.0123456790123456,0.1728395061728395,2636.08
9e6229250fedbe05838fef417b74e7fb,SP,73,14797.259999999998,-15.232876712328768,3.8904109589041096,0.0273972602739726,0.0,0.1506849315068493,2635.1284931506843
7ea5bfa6c340f58f8e71fc1f0412b0d6,MG,96,12470.26,-10.09375,4.189473684210526,0.0625,0.0520833333333333,0.09375,2597.9708333333333
3db66a856d18a9cba7c9241fc5221c50,MG,94,11522.66,-11.840425531914894,4.191489361702128,0.1063829787234042,0.0106382978723404,0.1063829787234042,2574.2112765957445
66922902710d126a0e7d26b0e3805106,MG,150,17464.93,-10.333333333333334,4.496644295302014,0.0733333333333333,0.02,0.0533333333333333,2561.523066666666
ececbfcff9804a2d6b40f589df8eef2b,SP,97,8548.46,-11.371134020618555,4.11340206185567,0.0927835051546391,0.0721649484536082,0.134020618556701,2555.725154639175
d20b021d3efdf267a402c402a48ea64b,SP,86,5427.259999999999,-5.651162790697675,3.752941176470588,0.1627906976744186,0.1046511627906976,0.1976744186046511,2524.306976744186
8d956fec2e4337affcb520f56fd8cbfd,SP,210,14302.050000000005,-10.561904761904762,4.214285714285714,0.0619047619047619,0.019047619047619,0.0952380952380952,2519.885
11bfa66332777660bd0640ee84d47006,SP,76,5608.54,-9.052631578947368,3.8947368421052633,0.1447368421052631,0.0789473684210526,0.2236842105263158,2509.0836842105264
624f4ece8da4aafb77699233d480f8ef,SP,52,10751.55,-10.596153846153848,4.25,0.0769230769230769,0.0384615384615384,0.1153846153846153,2481.1269230769235
