cohort_month,month_number,active_customers,cohort_customers,orders,cohort_gmv,cumulative_gmv,cumulative_gmv_per_cohort_customer
2017-05-01,9,9,3451,11,1353.84,578097.6399999997,167.51597797739777
2017-05-01,10,9,3451,9,1459.0600000000002,579556.6999999997,167.93877137061713
2017-05-01,11,12,3451,12,1438.36,580995.0599999997,168.35556650246298
2017-05-01,12,8,3451,8,1056.81,582051.8699999998,168.66179947841198
2017-05-01,13,1,3451,1,62.33,582114.1999999997,168.6798609098811
2017-05-01,14,6,3451,6,665.0999999999999,582779.2999999997,168.87258765575186
2017-05-01,15,7,3451,7,746.4200000000001,583525.7199999997,169.08887858591706
2017-06-01,0,3037,3037,3092,484296.2399999999,484296.2399999999,159.46534079683894
2017-06-01,1,15,3037,16,2162.0,486458.2399999999,160.17722752716492
2017-06-01,2,12,3037,13,2142.03,488600.2699999999,160.8825386894962
2017-06-01,3,13,3037,13,1484.87,490085.1399999999,161.37146526177145
2017-06-01,4,9,3037,10,1434.43,491519.5699999999,161.84378333882117
2017-06-01,5,12,3037,12,1595.53,493115.0999999999,162.36914718472173
2017-06-01,6,11,3037,11,1601.41,494716.5099999999,162.8964471517945
2017-06-01,7,7,3037,7,822.86,495539.3699999999,163.16739216331902
2017-06-01,8,4,3037,4,346.26,495885.6299999999,163.28140599275596
2017-06-01,9,6,3037,6,497.30000000000007,496382.9299999999,163.44515311162328
2017-06-01,10,9,3037,9,2232.08,498615.0099999999,164.18011524530783
2017-06-01,11,11,3037,12,2062.9999999999995,500678.0099999999,164.85940401712213
2017-06-01,12,5,3037,5,513.44,501191.4499999999,165.02846559104376
2017-06-01,13,5,3037,6,1047.89,502239.3399999999,165.3735067500823
2017-06-01,14,7,3037,10,2454.39,504693.7299999999,166.18166941060255
2017-07-01,0,3752,3752,3820,558533.4299999996,558533.4299999996,148.86285447761182
2017-07-01,1,20,3752,22,3070.5000000000005,561603.9299999996,149.68121801705746
2017-07-01,2,13,3752,13,1307.59,562911.5199999996,150.02972281449885
2017-07-01,3,9,3752,9,1156.3200000000002,564067.8399999995,150.33791044776106
2017-07-01,4,11,3752,13,1281.37,565349.2099999995,150.6794269722813
2017-07-01,5,8,3752,8,1865.65,567214.8599999995,151.17666844349668
2017-07-01,6,12,3752,12,2553.1900000000005,569768.0499999995,151.85715618336872
2017-07-01,7,4,3752,4,250.36,570018.4099999995,151.92388326225998
2017-07-01,8,7,3752,8,413.96,570432.3699999994,152.0342137526651
2017-07-01,9,10,3752,11,2071.11,572503.4799999994,152.5862153518122
2017-07-01,10,8,3752,8,1163.02,573666.4999999994,152.89618869936018
2017-07-01,11,11,3752,12,1264.85,574931.3499999994,153.2333022388058
2017-07-01,12,5,3752,5,1409.38,576340.7299999994,153.60893656716402
2017-07-01,13,9,3752,9,876.49,577217.2199999994,153.84254264392308
2017-08-01,0,4057,4057,4133,635566.5599999998,635566.5599999998,156.6592457480897
2017-08-01,1,28,4057,29,5056.77,640623.3299999998,157.90567660833125
2017-08-01,2,14,4057,16,2229.0299999999997,642852.3599999999,158.45510475720974
2017-08-01,3,11,4057,11,1014.62,643866.9799999999,158.7051959576041
